Created on 06/20/2018,http://www.CryptoDataDownload.com
Date,Symbol,Open,High/2018,Low,Close,Volume From,Volume To
12/21/2017,LTCUSD,298,320,275,297.14,28994.37,8671359.31
12/20/2017,LTCUSD,341.64,344.56,285,298,38278.67,11952167.22
12/19/2017,LTCUSD,353.65,369,310,341.64,28528.8,9937043.13
12/18/2017,LTCUSD,312.78,360.94,300,353.65,28832.42,9347474.82
12/17/2017,LTCUSD,296.17,325.48,296.17,312.78,24810.27,7747999.84
12/16/2017,LTCUSD,299,307.91,285,296.17,18322.85,5466312.43
12/15/2017,LTCUSD,271.94,313.91,250,299,39932.17,11207987.71
12/14/2017,LTCUSD,294.61,307.13,262.5,271.94,30772.96,8782970.39
12/13/2017,LTCUSD,290.54,329,260,294.61,48793.74,14657498.16
12/12/2017,LTCUSD,210.69,349,200.5,290.54,103023.33,27965016.25
12/11/2017,LTCUSD,144.39,219.99,143.16,210.69,93118.84,17276278.26
12/10/2017,LTCUSD,148.49,155.99,125.56,144.39,38281.86,5489186.45
12/09/2017,LTCUSD,119.84,168,119.84,148.49,64549.37,9324134.81
12/08/2017,LTCUSD,92.98,125.5,90.5,119.84,73645.58,8177764.59
12/07/2017,LTCUSD,97.87,100,90.1,92.98,32689.9,3128565.56
12/06/2017,LTCUSD,101,103.45,96.01,97.87,24037.48,2421847.41
12/05/2017,LTCUSD,103.1,104,100.33,101,17732.29,1812082.61
12/04/2017,LTCUSD,100.43,103.22,98.3,103.1,15292.61,1535187.55
12/03/2017,LTCUSD,98.76,104,98.01,100.43,23562.51,2379280.4
12/02/2017,LTCUSD,97.43,102.78,97,98.76,31367.42,3120111.63
12/01/2017,LTCUSD,87.59,100,82,97.43,45945.72,4220712.4
11/30/2017,LTCUSD,83.95,91.99,78.21,87.59,43497.4,3717449.65
11/29/2017,LTCUSD,92.87,102.49,70.02,83.95,82094.38,7662657.73
11/28/2017,LTCUSD,89.84,93.68,88,92.87,31573.07,2874713.77
11/27/2017,LTCUSD,84.01,90.3,83.75,89.84,28980.98,2550127.46
11/26/2017,LTCUSD,87.16,88.34,81,84.01,29751.1,2528612.42
11/25/2017,LTCUSD,75.99,88.38,75.67,87.16,45336.18,3682681.62
11/24/2017,LTCUSD,73.01,76,71.01,75.66,29815.34,2203432.55
11/23/2017,LTCUSD,71.88,75.78,70.21,73.01,39360.28,2900903.13
11/22/2017,LTCUSD,70.19,71.99,69.21,71.88,19661.32,1393697.76
11/21/2017,LTCUSD,72,72.5,67,70.19,32185.27,2268441.69
11/20/2017,LTCUSD,71.08,73.05,70.53,72,36398.38,2615625.53
11/19/2017,LTCUSD,69.5,73,68.21,71.08,24014.73,1691385.59
11/18/2017,LTCUSD,67.75,69.59,65.06,69.5,19089.03,1282994.53
11/17/2017,LTCUSD,70,70,64.01,67.75,33486.2,2265035.88
11/16/2017,LTCUSD,63.26,74.7,62,70,48308.69,3163673.53
